lambda , cervene         , modre           , tm_cervene      , zelene         , zlute
884    , 0.0468163109    , 0.281650206654  , 0.0352535071302 , 1.28485760055  , 0.0475386612563
886    , 0.0473666814747 , 0.280596847162  , 0.0348817750681 , 1.27920372047  , 0.0459680232582
888    , 0.0440749961226 , 0.27474845726   , 0.0317449487174 , 1.26242894164  , 0.044208707857
890    , 0.0491480600836 , 0.278552548953  , 0.0365917575179 , 1.27153365366  , 0.048946313706
892    , 0.0520717781721 , 0.281096474709  , 0.0398496368703 , 1.27650881035  , 0.0530494183658
894    , 0.0444361134785 , 0.270526823918  , 0.0327749297877 , 1.26825255602  , 0.0446768267671
896    , 0.0467560230842 , 0.27286574254   , 0.0335412431748 , 1.26293670682  , 0.0474997593202
898    , 0.0459085232743 , 0.272026239506  , 0.0356076104605 , 1.26045265213  , 0.0481428994919
900    , 0.0482021304103 , 0.270430074253  , 0.0364494339169 , 1.24009082011  , 0.0491868411196
902    , 0.0450650642882 , 0.26764110848   , 0.0354953262583 , 1.23011887857  , 0.0491374608463
904    , 0.0472899277792 , 0.263759331569  , 0.0356039075072 , 1.22171170396  , 0.047539512002
906    , 0.0482620280307 , 0.266577880315  , 0.0350061808215 , 1.2198738406   , 0.0477055766133
908    , 0.0465615598165 , 0.263039925269  , 0.0353184329237 , 1.21853222586  , 0.0470722066861
910    , 0.0474850338671 , 0.26340402126   , 0.0355690684766 , 1.20859699439  , 0.0468878483419
912    , 0.0465510921451 , 0.260336404294  , 0.0360130298947 , 1.20308538908  , 0.049807673533
914    , 0.0469045427406 , 0.259015725575  , 0.037098051215  , 1.18401616983  , 0.0490034429605
916    , 0.0476571106496 , 0.256286363717  , 0.0368865130351 , 1.17328063777  , 0.0492345088687
918    , 0.0470077999726 , 0.255291331034  , 0.0363588807321 , 1.17325742081  , 0.0474468850806
920    , 0.0496697120457 , 0.256937377572  , 0.0377095882962 , 1.17595500071  , 0.0497764775501
922    , 0.0468603194685 , 0.252385517029  , 0.034504036281  , 1.16472332548  , 0.0472578238186
